label,freq
E92000001E08000003,20
E92000001E09000023,11
E92000001E09000028,11
E92000001E09000025,11
E92000001E09000024,11
E92000001E09000029,11
E92000001E09000019,11
E92000001E09000011,11
E92000001E09000006,11
E92000001E09000016,11
E92000001E09000017,11
E92000001E09000004,11
E92000001E09000020,11
E92000001E09000009,11
E92000001E09000027,11
E92000001E09000002,11
E92000001E09000010,11
E92000001E09000021,11
E92000001E09000032,11
E92000001E09000003,11
E92000001E09000026,11
E92000001E09000022,11
E92000001E09000012,11
E92000001E09000014,11
E92000001E09000031,11
E92000001E09000007,11
E92000001E09000030,11
E92000001E09000018,11
E92000001E09000005,11
E92000001E09000015,11
E92000001E09000013,11
E92000001E09000008,11
S92000003S12000029,
E92000001E08000019,
E92000001E06000007,
W92000004W06000016,
S92000003S12000013,
W92000004W06000013,
E92000001E07000138,
E92000001E07000166,
E92000001E07000105,
W92000004W06000022,
E92000001E08000034,
E92000001E07000126,
S92000003S12000006,
E92000001E06000018,
E92000001E07000133,
E92000001E07000219,
E92000001E07000097,
E92000001E06000039,
E92000001E07000199,
E92000001E07000173,
E92000001E07000082,
E92000001E06000034,
W92000004W06000019,
S92000003S12000046,
E92000001E06000027,
E92000001E07000030,
E92000001E06000017,
E92000001E07000209,
E92000001E07000188,
E92000001E06000035,
E92000001E07000148,
S92000003S12000038,
E92000001E06000006,
E92000001E07000177,
E92000001E07000081,
E92000001E07000119,
E92000001E07000226,
E92000001E06000013,
E92000001E07000108,
E92000001E06000014,
E92000001E06000016,
E92000001E07000062,
E92000001E07000010,
E92000001E08000020,
E92000001E41000052,
W92000004W06000015,
E92000001E07000026,
E92000001E08000024,
E92000001E07000050,
E92000001E07000218,
E92000001E07000099,
E92000001E07000103,
E92000001E08000017,
S92000003S12000045,
E92000001E07000120,
E92000001E06000054,
E92000001E07000234,
E92000001E07000101,
W92000004W06000006,
E92000001E07000072,
S92000003S12000040,
E92000001E07000048,
E92000001E07000220,
E92000001E07000141,
E92000001E07000216,
W92000004W06000023,
S92000003S12000019,
E92000001E08000022,
E92000001E07000221,
E92000001E06000030,
E92000001E06000055,
E92000001E08000018,
S92000003S12000015,
E92000001E06000001,
E92000001E07000132,
E92000001E07000121,
E92000001E06000024,
E92000001E07000190,
E92000001E07000189,
E92000001E07000075,
E92000001E06000045,
W92000004W06000010,
E92000001E07000052,
E92000001E06000020,
E92000001E07000196,
E92000001E07000115,
E92000001E07000033,
E92000001E07000222,
E92000001E07000035,
S92000003S12000030,
E92000001E07000198,
E92000001E08000008,
E92000001E07000041,
E92000001E07000047,
W92000004W06000012,
E92000001E06000056,
E92000001E07000197,
S92000003S12000018,
E92000001E08000030,
E92000001E07000208,
E92000001E06000047,
W92000004W06000005,
E92000001E06000051,
W92000004W06000003,
E92000001E07000201,
E92000001E07000153,
E92000001E07000125,
E92000001E07000070,
E92000001E06000048,
E92000001E41000324,
E92000001E07000168,
E92000001E07000112,
E92000001E07000174,
E92000001E07000095,
E92000001E07000203,
E92000001E07000142,
W92000004W06000011,
E92000001E06000038,
E92000001E06000008,
S92000003S12000023,
S92000003S12000034,
E92000001E07000066,
E92000001E07000205,
E92000001E07000217,
E92000001E07000128,
E92000001E06000023,
E92000001E06000025,
E92000001E07000084,
E92000001E07000131,
S92000003S12000010,
E92000001E07000012,
E92000001E07000063,
E92000001E08000031,
E92000001E07000117,
E92000001E06000036,
E92000001E06000009,
E92000001E07000088,
W92000004W06000024,
E92000001E07000109,
E92000001E07000104,
E92000001E08000007,
E92000001E07000089,
E92000001E06000003,
E92000001E08000009,
E92000001E07000106,
E92000001E07000143,
W92000004W06000002,
E92000001E07000156,
E92000001E07000029,
E92000001E08000002,
E92000001E07000227,
E92000001E07000210,
E92000001E07000065,
E92000001E06000011,
E92000001E07000191,
E92000001E07000042,
E92000001E06000033,
E92000001E07000037,
E92000001E08000005,
W92000004W06000001,
E92000001E07000034,
S92000003S12000039,
E92000001E07000090,
E92000001E07000137,
E92000001E07000151,
E92000001E07000229,
E92000001E07000093,
E92000001E07000195,
E92000001E08000010,
E92000001E08000026,
E92000001E06000046,
S92000003S12000026,
E92000001E07000213,
E92000001E07000087,
E92000001E07000079,
E92000001E07000130,
E92000001E07000113,
E92000001E06000040,
E92000001E07000038,
E92000001E08000028,
E92000001E06000029,
E92000001E07000145,
E92000001E07000129,
E92000001E07000124,
E92000001E06000032,
E92000001E07000175,
E92000001E07000064,
E92000001E08000021,
E92000001E07000237,
E92000001E07000179,
E92000001E07000149,
E92000001E07000187,
S92000003S12000035,
E92000001E07000077,
S92000003S12000028,
E92000001E07000011,
E92000001E07000083,
E92000001E07000127,
E92000001E06000005,
E92000001E07000008,
E92000001E07000078,
E92000001E07000036,
E92000001E06000037,
E92000001E07000045,
E92000001E06000044,
E92000001E08000011,
E92000001E08000023,
E92000001E07000068,
S92000003S12000027,
E92000001E07000080,
W92000004W06000008,
E92000001E07000224,
E92000001E07000225,
E92000001E07000111,
E92000001E07000193,
E92000001E06000021,
E92000001E07000004,
E92000001E07000140,
E92000001E07000031,
W92000004W06000020,
E92000001E07000114,
E92000001E07000134,
E92000001E08000001,
E92000001E07000200,
E92000001E07000194,
E92000001E07000118,
S92000003S12000005,
E92000001E07000102,
S92000003S12000044,
E92000001E07000150,
E92000001E06000015,
E92000001E07000040,
E92000001E07000170,
E92000001E07000096,
E92000001E07000165,
E92000001E07000107,
E92000001E07000122,
